Time (s)	Servo Angle (degrees)	Lever Angle (degrees)	Disturbance Angle	Reward Delivered (0/1)
15.5	115.9	-0.1	0.0	0
15.6	68.1	-0.2	0.0	0
15.7	43.6	-0.0	0.0	0
15.8	42.6	-0.3	0.0	0
15.8	42.8	-0.3	0.0	0
15.9	42.8	-0.3	0.0	0
16.0	42.9	-0.2	0.0	0
16.1	43.2	-0.2	0.0	0
16.2	42.8	-0.2	0.0	0
16.2	42.6	-0.2	0.0	0
16.3	43.3	-0.1	0.0	0
16.4	42.6	-0.2	0.0	0
16.5	42.1	-0.2	0.0	0
16.5	42.7	-0.2	0.0	0
16.6	42.6	-0.2	0.0	0
16.7	42.7	-0.1	0.0	0
16.8	42.2	-0.1	0.0	0
16.9	41.8	-0.2	0.0	0
16.9	43.3	-0.2	0.0	0
17.0	42.5	-0.1	0.0	0
17.1	42.5	-0.1	0.0	0
17.2	42.9	0.1	0.0	0
17.3	48.1	4.4	0.0	0
17.3	57.0	9.3	0.0	0
17.4	67.5	14.9	0.0	0
17.5	69.8	13.2	0.0	0
17.6	73.3	15.8	0.0	0
17.7	79.5	19.7	0.0	0
17.7	85.2	21.6	0.0	0
17.8	83.7	18.8	0.0	0
17.9	80.2	17.5	0.0	0
18.0	79.0	18.2	0.0	1
18.1	80.3	18.4	0.0	0
18.1	81.9	19.4	0.0	0
18.2	79.1	17.4	0.0	0
18.3	58.5	-0.0	0.0	0
18.4	43.8	-0.4	0.0	0
18.5	43.0	-0.2	0.0	0
18.5	42.4	-0.1	0.0	0
18.6	42.1	-0.1	0.0	0
18.7	43.4	-0.2	0.0	0
18.8	42.4	-0.1	0.0	0
18.9	42.3	-0.1	0.0	0
18.9	42.6	-0.2	0.0	0
19.0	42.9	-0.3	0.0	0
19.1	42.7	-0.1	0.0	0
19.2	42.1	-0.1	0.0	0
19.3	42.6	-0.3	0.0	0
19.3	42.7	-0.2	0.0	0
19.4	42.7	-0.1	0.0	0
19.5	42.8	-0.1	0.0	0
19.6	42.7	-0.1	0.0	0
19.6	42.2	-0.3	0.0	0
19.7	43.1	-0.1	0.0	0
19.8	42.8	-0.3	0.0	0
19.9	43.1	-0.4	0.0	0
20.0	43.2	-0.3	0.0	0
20.0	42.9	-0.3	0.0	0
20.1	42.4	-1.4	0.0	0
20.2	42.7	-1.1	0.0	0
20.3	43.2	-0.8	0.0	0
20.4	42.5	-0.4	0.0	0
20.4	43.1	-1.2	0.0	0
20.5	42.9	-1.1	0.0	0
20.6	42.6	-1.1	0.0	0
20.7	42.9	-1.4	0.0	0
20.8	43.3	-0.7	0.0	0
20.9	44.5	-0.4	0.0	0
20.9	44.8	-0.6	0.0	0
21.0	44.1	-0.8	0.0	0
21.1	44.3	-0.9	0.0	0
21.2	43.0	-0.9	0.0	0
21.3	44.3	-1.1	0.0	0
21.3	45.3	-0.8	0.0	0
21.4	44.9	-0.5	0.0	0
21.5	44.5	-0.6	0.0	0
21.6	44.7	-0.8	0.0	0
21.7	45.5	-0.7	0.0	0
21.7	44.9	-0.8	0.0	0
21.8	43.9	-0.8	0.0	0
21.9	44.5	-0.8	0.0	0
22.0	44.2	-0.8	0.0	0
22.1	43.8	-0.7	0.0	0
22.1	42.9	-0.7	0.0	0
22.2	43.0	-0.8	0.0	0
22.3	44.7	-1.0	0.0	0
22.4	44.2	0.0	0.0	0
22.5	45.7	-0.3	0.0	0
22.6	44.8	-0.5	0.0	0
22.6	45.0	-0.6	0.0	0
22.7	44.3	-0.6	0.0	0
22.8	43.6	-0.4	0.0	0
22.9	44.3	-0.7	0.0	0
23.0	44.1	-0.6	0.0	0
23.0	43.7	-0.7	0.0	0
23.1	43.4	-0.9	0.0	0
23.2	42.7	-1.0	0.0	0
23.3	43.4	-1.0	0.0	0
23.4	43.2	-1.0	0.0	0
23.4	43.3	-1.0	0.0	0
23.5	42.9	-1.0	0.0	0
23.6	43.1	-1.1	0.0	0
23.7	44.5	-1.0	0.0	0
23.8	43.6	-1.0	0.0	0
23.9	42.3	-1.0	0.0	0
24.0	42.4	-1.0	0.0	0
24.1	42.9	-1.1	0.0	0
24.1	43.1	-1.1	0.0	0
24.2	43.2	-1.1	0.0	0
24.3	43.3	-1.1	0.0	0
24.4	43.7	-1.0	0.0	0
24.5	43.5	-1.1	0.0	0
24.5	42.9	-1.0	0.0	0
