Time (s)	Servo Angle (degrees)	Lever Angle (degrees)	Disturbance Angle	Reward Delivered (0/1)
31.3	118.9	-0.1	0.0	0
31.4	70.7	-0.1	0.0	0
31.5	48.2	-0.0	0.0	0
31.6	46.6	0.1	0.0	0
31.7	46.6	-0.2	0.0	0
31.7	46.4	-0.1	0.0	0
31.8	46.5	-0.1	0.0	0
31.9	46.8	0.1	0.0	0
32.0	47.0	-0.1	0.0	0
32.1	46.9	-0.1	0.0	0
32.1	46.9	-0.1	0.0	0
32.2	46.9	0.1	0.0	0
32.3	46.7	-0.2	0.0	0
32.4	46.2	-0.1	0.0	0
32.5	47.2	0.0	0.0	0
32.5	46.9	-0.1	0.0	0
32.6	47.0	-0.2	0.0	0
32.7	47.4	-0.0	0.0	0
32.8	47.3	-0.0	0.0	0
32.9	47.0	-0.2	0.0	0
32.9	46.4	-0.2	0.0	0
33.0	47.0	-0.0	0.0	0
33.1	47.0	-0.1	0.0	0
33.2	47.2	-0.1	0.0	0
33.3	46.6	0.0	0.0	0
33.3	46.7	-0.2	0.0	0
33.4	46.8	-0.1	0.0	0
33.5	46.5	0.0	0.0	0
33.6	47.2	-0.0	0.0	0
33.7	47.7	0.0	0.0	0
33.7	46.8	-0.1	0.0	0
33.8	46.6	-0.2	0.0	0
33.9	45.6	-0.3	0.0	0
34.0	46.1	-0.2	0.0	0
34.1	46.1	-0.3	0.0	0
34.1	45.5	-0.2	0.0	0
34.2	45.7	-0.2	0.0	0
34.3	46.1	-0.1	0.0	0
34.4	46.5	-0.3	0.0	0
34.5	46.4	-0.2	0.0	0
34.6	45.9	-0.2	0.0	0
34.6	46.1	-0.1	0.0	0
34.7	45.8	-0.2	0.0	0
34.8	45.8	-0.2	0.0	0
34.9	45.8	-0.2	0.0	0
35.0	46.3	-0.3	0.0	0
35.0	46.1	-0.2	0.0	0
35.1	46.2	-0.2	0.0	0
35.2	46.1	-0.2	0.0	0
35.3	46.3	-0.1	0.0	0
35.4	45.9	-0.0	0.0	0
35.4	46.1	-0.2	0.0	0
35.5	46.0	-0.2	0.0	0
35.6	45.6	-0.3	0.0	0
35.7	46.2	-0.2	0.0	0
35.8	46.4	-0.1	0.0	0
35.9	46.6	-0.3	0.0	0
35.9	45.9	-0.2	0.0	0
36.0	46.4	-0.2	0.0	0
36.1	46.6	-0.0	0.0	0
36.2	48.4	-0.1	0.0	0
36.3	48.0	0.1	0.0	0
36.3	48.4	-0.0	0.0	0
36.4	48.2	0.0	0.0	0
36.5	48.0	0.1	0.0	0
36.6	48.2	0.1	0.0	0
36.7	48.3	0.1	0.0	0
36.7	48.5	0.0	0.0	0
